result_kind,workload_id,workload,variant,repeat,seed,json,csv,log,measured_ops_per_sec,measured_seconds,elapsed_seconds,run_mean_p95_ms,predicted_hot_dirs,predicted_eval_hot_dirs,predicted_eval_cold_dirs,predicted_hot_dir_precision,total_promotions,promoted_hot,promoted_cold,layout_failures
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,native,4,9104,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__native__r4.json,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__native__r4.csv,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__native__r4.log,126.704357,193.205669,195.557693,103.51594775,,,,,,,,0
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,oracle,0,9100,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__oracle__r0.json,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__oracle__r0.csv,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__oracle__r0.log,38145.669567,0.64175,2.276629,0.7736652500000001,,,,,,,,0
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,oracle,1,9101,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__oracle__r1.json,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__oracle__r1.csv,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__oracle__r1.log,38621.42435,0.633845,2.286428,0.869708,,,,,,,,0
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,oracle,2,9102,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__oracle__r2.json,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__oracle__r2.csv,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__oracle__r2.log,38138.746892,0.641867,2.255026,0.76983,,,,,,,,0
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,oracle,3,9103,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__oracle__r3.json,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__oracle__r3.csv,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__oracle__r3.log,38514.61769,0.635603,2.284414,0.7623847499999999,,,,,,,,0
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,oracle,4,9104,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__oracle__r4.json,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__oracle__r4.csv,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__oracle__r4.log,29268.562973,0.836392,2.445255,0.77829,,,,,,,,0
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,predictor,0,9100,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor__r0.json,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor__r0.csv,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor__r0.log,188.726454,129.711545,131.681798,108.83564499999999,60,0,60,0.0,0,0,0,0
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,predictor,1,9101,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor__r1.json,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor__r1.csv,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor__r1.log,193.473054,126.529248,128.316607,123.49947949999999,60,0,60,0.0,0,0,0,0
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,predictor,2,9102,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor__r2.json,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor__r2.csv,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor__r2.log,185.238396,132.154027,133.733034,75.611157,60,0,60,0.0,0,0,0,0
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,predictor,3,9103,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor__r3.json,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor__r3.csv,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor__r3.log,194.848736,125.635919,127.185802,97.71996425,60,0,60,0.0,0,0,0,0
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,predictor,4,9104,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor__r4.json,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor__r4.csv,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor__r4.log,182.499397,134.13743,135.797704,78.460572,60,0,60,0.0,0,0,0,0
